public,user_public,type,subject,excerpt_or_original_text,response_created_at,featured,featured_at,response_language,image
true,true,photo_and_text,"Does this time of the year feel different than it normally does, or different than it should? If so, give some examples of what feels different.
","<strong> Facebook posts memories of my former life’s posts, reminders of how my life has changed.

This stained glass window is @ the Chapel of the 4 chaplains at the Philadelphia Naval Yard.</strong>

I attended a holiday concert there in December of 2019 with my friend L. It was quite beautiful and many singers were winners of Marion Anderson awards. A church they’d been involved with @ 18 th & Lombard (?) was sold & They’d been looking for venue. The chaplaincy was new to the naval retiree and he prayed God would help him fill the chapel with music and life beyond the military weddings it provided. It was inspiring.

<strong> I’m not a church-goer, but I was one for the first quarter of my life. I was thinking today that I miss the gyms and choir and the Handel’s Messiah and the Hallelujah chorus.

I wouldn’t venture into a congregation of people singing hymns @ this point in time.</strong> I can make a plan to watch a service on tv and sing along and use my cd’s of the Messiah, hymns and Carol’s and I am purchasing some holiday flowers to decorate a bit more.

<strong> I’m glad I have the memory and photograph to help recall my 2019 experience there.</strong>",2021-12-15 03:38:31,true,2021-12-17 21:01:41.589586,en,PJP_1009_1_EN_week81_journal_2_ptext.jpeg
true,true,photo_and_text,"Has anything changed dramatically in your life since the pandemic began? If so, talk about it.","I think, for us, it’s important to note that <strong> our space has changed dramatically.</strong> Luckily, our finances have not (except for now with my LOA). We have built and finished <strong>the barn,</strong> we are moving forward with the <strong>pool</strong> and ... recently bought a <strong>boat.</strong> <strong>I recognize our wealth, our privilege</strong> and our situation as being very fortunate. One thing I do think is important and curious to note is that <strong>all of these improvements, purchases and changes all are centered on </strong> our family and  <strong>spending more time together as a family! </strong>",2020-09-26 12:40:38,true,2020-09-27 00:30:43.24783,en,PJP_1011_1_EN_week17_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong> This week was the longest whirlwind of my life.</strong> There has been so much anticipation towards the election for me that it has left me desperate for change, for unity and for my children. Election Day is among us and while we most likely will not know the results for days, I am here for all of the sleepless nights and long days glued to CNN and NPR.",2020-11-08 01:08:49,true,2020-11-09 14:25:01.301076,en,PJP_1011_1_EN_week23_journal_1_ptext.jpeg
true,true,photo_and_text,Describe an experience this week that made you happy.,[K.] drew this in his notebook. I am so proud of him and of these masked warriors who are to lead our country. Amen.,2020-11-14 03:15:26,true,2020-11-15 00:03:24.2415,en,PJP_1011_1_EN_week24_journal_2_ptext.jpeg
true,true,photo_and_text,"Have people in your community supported one another during the pandemic? Talk about why or why not, and maybe give some examples.","""... I once saw a bag of free masks hanging on a fence post with a note that said anyone was welcome to take a mask if she needed one. I have heard of people filling their small library houses (like the one pictured) with canned food and toilet paper rolls free for anyone who might need something. I have not been so lucky to have seen an example of this in person. ...""",2020-06-16 21:35:54,true,2020-06-29 21:11:34.981729,en,PJP_1011_1_EN_week29_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong> I never ever imagined, that in my wildest dreams, we’d be where we are right now.</strong> What a world we live in. It’s been a long week.<strong> It was our first week of having all of our students stuffed back into classes, the morale is really low at school</strong> y como si fuera poco, <strong> it was teacher appreciation week and I have never felt so unappreciated.</strong> It’s strange, really. I am not one to seek out support or love or accolades. However,<strong> seeing this sign, manipulated by someone in the community where I teach (used to read we love NAHS teachers), was a blow to the gut.</strong> I have given so much to teaching and to my students as I have this year... I wish I felt more from there. Anything really.",2021-05-07 23:10:41,true,2021-05-08 13:33:16.455274,en,PJP_1011_1_EN_week49_journal_1_ptext.jpeg
true,true,photo_and_text,"Talk about something that's bringing you joy.
","<strong> Here the boys are watching Home Alone with me</strong>. Not only is it<strong> one of my favorite movies</strong>, it is also a <strong> reminder that so soon we will be celebrating Christmas once again</strong>. Last year, Christmas was wonderful but also in the midst of our quarantine, in the middle of N.’s parents’ diagnosis, celebrated over zoom.<strong> I have a feeling this year will be different and that brings me much joy!</strong>",2021-11-12 10:53:13,true,2021-11-17 05:33:34.48731,en,PJP_1011_1_EN_week76_journal_2_ptext.jpeg
true,true,photo_and_text,"Does this time of the year feel different than it normally does, or different than it should? If so, give some examples of what feels different.
",<strong> I am lonely</strong>. Wrapping was an example where I was really hoping to spend some time with my friends but I spent hours doing it alone.,2021-12-21 10:59:59,true,2021-12-24 14:55:13.55308,en,PJP_1011_1_EN_week81_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","This week, I am grateful for our home and for the ability to expand and create beauty in this ugly time.",2020-08-07 20:48:18,true,2020-08-10 05:43:21.287417,en,PJP_1011_1_EN_week9_journal_1_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","We did it. <strong>We took a vacation with friends.</strong> We <strong>self isolated</strong> for 2 weeks ahead of time, <strong>brought all of our own groceries</strong> and had a lovely week with dear friends.<strong> We hugged! </strong>Our daughter played with a friend INSIDE!! I hated to leave. I hated coming home to school anxiety conversations and my daughter swinging on the swings for hours by herself. <strong>I hate COVID but I love my friends.</strong>",2020-08-15 12:02:56,true,2020-08-16 07:18:17.767207,en,PJP_1017_1_EN_week11_journal_1_ptext.jpeg
true,true,photo_and_text,"Are you doing anything artistic or creative these days that you weren’t doing before? If so, talk about it.","<strong>I can’t stop embroidering.</strong> I have always liked it but now I can’t stop. <strong>I am most definitely getting some kind of therapy from this.</strong> Every night as I watch TV, on vacation, and in the car when we drive for a longer ride. I imagined myself sewing a COVID quilt - meaning sewing a quilt now that I have more time. Nope. I sit and I stitch.",2020-08-15 12:02:56,true,2020-08-16 07:07:26.057465,en,PJP_1017_1_EN_week11_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","""... It was my daughter’s last week of school. It’s a tradition to have a water balloon toss on Field Day but as schools are not open we had one in the backyard with three other friends. I initially thought I would make my daughter were gloves but then I didn’t. So they did it. We had hand sanitizer and all of that. But <strong>this photo of the water balloons makes me think of all of the parents trying to normalize a very abnormal time.</strong> I love that it represents that effort but <strong>I also see potential COVID on every balloon!</strong> ...""",2020-06-19 12:24:42,true,2020-06-30 15:14:18.1815,en,PJP_1017_1_EN_week3_journal_1_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong> This is the screen that you get when you try to get your parents, who are in their 70’s, a COVID vaccine.</strong> I have seen this woman’s face (from the CVS vaccine sign up page) at 4:30am, 5:00am, 6:00am and at random times in the afternoon. She looks happy. She is smiling.<strong> Anyone who has seen this face is likely as frustrated as I am.</strong>

<strong> I blew a gasket the other day when I learned that more and more friends of mine are getting their shots.</strong> They are in their 40’s and 50’s, healthy and are eligible for the vaccine because they fit the definition of working in education (but they work from home and work admin jobs) and the like. Yet, there is a Facebook page of people pleading for help getting vaccines for their elderly relatives, or those with cancer - those who are most in need.

<strong> Our health system - our American dream - is a game of grab a$$ medical care - take what you can get.</strong> Those with the resources play the lottery (or have someone else play for them) and hope their number comes up.<strong> It’s such BS and shameful.</strong>

<strong> My parents have appointments</strong> later in the spring,  they are safe and ok.<strong> They will be fine. But for all of those who can’t wait their turn: Shame. Shame. Shame.</strong>

And shame on this system which is so broken it’s mind blowing.<strong> A rover lands on Mars and people are hitting refresh on the CVS website at 4:00 to help their family members. It’s disgusting.</strong>",2021-03-03 12:14:58,true,2021-03-05 16:13:20.424813,en,PJP_1017_1_EN_week40_journal_1_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<strong> Seeing a fully stocked and ignored shelf of Lysol tells me things have shifted</strong>. Not only in the way we think about transmission but regarding anxiety level. Also - apparently everyone at Old Navy is allergic to masks.<strong> People are acting like everything is totally fine...</strong>,2021-08-03 23:14:30,true,2021-08-04 19:20:04.925592,en,PJP_1017_1_EN_week62_journal_1_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<strong> I did it. I ate inside a restaurant. I haven’t eaten inside a restaurant since early 2020</strong>. It was the middle of the day and I was with 2 friends who are vaxxed and there was plenty of space - the whole thing.<strong> I had a hard time taking off my mask at first</strong>. I may need a little time to do these kinds of things without worry.<strong> It’s been a long 2 years and I can’t just jump back in</strong>. Also cases are rising again so it’s not for nothing. It was really nice though. Food tastes better there then with take out. It really does. My daughter gets her 2nd shot in 2 weeks:) That might help me. But I was on public transit today and there was a guy coughing. He goes and sits like two seats from me. I moved to another train car. No way and no thanks! I noticed that people are starting to shake hands again. I kind of hoped that would just end. Never liked it and now it’s even more annoying to me.,2021-11-20 11:04:16,true,2021-11-22 03:09:20.939237,en,PJP_1017_1_EN_week77_journal_1_ptext.jpeg
true,true,photo_and_text,"What did you most enjoy doing this week?
","<strong> Got together with friends inside without masks. Decorated gingerbread houses. Kids hung out together</strong> all day just playing video games, laughing just being together. We all went together to the<strong> town’s Xmas tree lighting.</strong> During the event which was crowded with happy people and little kids running around my husband and I talked about the new variant.<strong> I thought this post was going to just be about joy but we were looking at all of the happy faces and said to ourselves “enjoy it now.”</strong> I hope that this isn’t our “June 2021” when we felt free again and then were slammed with Delta.<strong> I have not really thought about what we have lost due to COVID. I have tried to focus more on what it has given us.</strong> Time together before my child turns into a teenager. But now see that<strong> joy - all of that together time with friends and family - has been paused.</strong>. I am still ok with that but<strong> the thought of another year of isolation or at least another year like this one is absolutely dreadful</strong> Now that we know what it’s like. Now that we have been reminded of what we miss.",2021-11-24 11:27:51,true,2021-12-02 03:22:15.410188,en,PJP_1017_1_EN_week78_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<strong>I’ve been going outside a lot more lately. It is keeping me sane. </strong>The alternative? Be super depressed when temporary relief is right behind the door. <strong>We found this froggy in the reservoir path. </strong>My friends found more and more as we walked. They seem content in their muddy world. Are they?,2020-10-09 20:48:30,true,2020-10-10 05:45:08.930951,en,PJP_1018_1_EN_week19_journal_1_ptext.jpeg
true,true,photo_and_text,"¿De que manera el coronavirus le está afectando su vida en este momento? Cuéntenos sus experiencias, sensaciones/emociones, y pensamientos.","Cielo Rosa 💗
Soy estudiante mexicana y vine de Intercambio a Buenos Aires, cuando empezó la pandemia del COVID-19, así que me encontraba en la disyuntiva de no saber si regresar a México o quedarme aquí, comenzé a llorar cuando me enteré que Argentina entraba en cuarentena obligatoria, yo sólo había llegado dos semanas antes, ni siquiera tuve tiempo para disfrutar, cuando sentí que todos mis planes se venían abajo, me acerqué al balcón de la residencia dónde vivo y pude ver este cielo color rosa maravilloso, entonces sentí un gran alivio, de una u otra forma sabía que todo iba a estar bien y que todo pasa! Por algo había llegado a Argentina, así que decidí quedarme, decidí pasar esta pandemia fuera de mi país y lejos de mi familia. Sola completamente sola! ¿Fue una buena decisión? 🇦🇷🇲🇽",2020-07-16 14:27:14,true,2020-07-20 00:06:06.738635,sp,PJP_1020_1_SP_week1_journal_1_ptext
true,true,photo_and_text,"¿De que manera el coronavirus le está afectando su vida en este momento? Cuéntenos sus experiencias, sensaciones/emociones, y pensamientos.","Está semana no he estado muy bien emocionalmente hablando, <strong> he notado que estoy cansada de llevar la misma rutina, es como vivir un día de la marmota eternamente </strong>, levantarme a las 10am tomar clase de yoga, desayunar, repasar el inglés, comer, hacer ejercicio, comer, salir a correr y dormir y así todos los días desde que empezó esta cuarentena...

Pero <strong> hoy decidí salir a caminar, eso es algo que siempre me ayuda a calmarme y pensar en las cosas que me atormentan, </strong> caminé hasta llegar a un lugar llamado Costanera Sur en Buenos Aires, descubrí que este es mi lugar favorito de la ciudad, el haber llegado ahí sin planearlo fue un regalo, cómo cuando sientes que ya todo está muy oscuro y entonces de pronto un arcoiris se asoma a lo lejos, así fue. <strong> Pienso que nada es para siempre, ni siquiera está monotonía que parece nunca acabarse, </strong> sé que no soy la única que se siente así, y que hay muchas personas que están allá afuera Trabajando para tener algo que comer o luchando contra el COVID, gente que quisiera poder estar a salvó en sus casas, pero su situación se los impide. Así que no me queda más que agradecer el poder tener un techo sobre mí, tener salud y comida. <strong> Si la situación no se puede transformar, entonces no me queda más que transformarme a mí.</strong>",2020-08-11 19:53:35,true,2021-03-17 03:25:47.147395,sp,PJP_1020_2_SP_week5_journal_1_ptext
true,true,photo_and_text,"Are you doing anything artistic or creative these days that you weren’t doing before? If so, talk about it.","<strong>I make lots of paper cranes.</strong> I made a lot of them before the pandemic to hang up this paper crane rainbow waterfall, but <strong>now more than ever I rely on folding the cranes to refocus myself, to relax, process, and feel out my own feelings with every fold. </strong>I hope yo make more seeing as my workspace at home is full of sticky notes which helps me stay mindful in getting work done and taking care of myself. I also made a few paper crane gowns since I have so many paper cranes. ",2020-08-12 00:20:40,true,2020-08-27 14:26:03.959296,en,PJP_1022_1_EN_week11_journal_2_ptext.jpg
true,true,photo_and_text,Additional Material,"Look it's my birthday!

I turned 26 and am not a ditz

I work hard as a teacher, coach, and student. 

I am kind, strong, empathetic and creative. 


Look it's my birthday!

I know it is a little tilted

I have a new vision of myself after 2020

I am caring, principled, knowledgeable, and a risk taker.


Look it's my birthday!

We are still in quarantine. 

I haven't been this sick since I was fourteen

I am grateful, humble, hopeful and inspired.


Look it's my birthday!

I miss you grandmother, I know you passed away

Only 6 days before my birthday. 

I miss hearing your voice, your song as you sing happy birthday

My greatest gift of all is family this birthday. 

I sat in your chair, I took care of your dog, I look after your husband

And I miss you most of all. 


On this birthday in the new year and there is a new me of sorts

I thank everyone around me for getting this far

Even though I no longer have healthcare 

I will continue to keep the memories of those I have lost with me. 


Look it's my birthday!

I drove very far, the first time to grandparents house only 356 miles far

I walked through the door holding back tears 

And hugged your daughter as she welcomed me into my new year.

",2021-01-20 03:38:05,true,2021-01-20 07:47:00.605315,en,PJP_1022_1_EN_week34_journal_3_ptext.jpg
true,true,photo_and_text,"Do you feel a sense of solidarity with any particular group at this point in the pandemic? If so, which group(s) and why?","A part of my soul is out there
Waiting for everyone to devour 
Consuming words they may or may not enjoy 
I feel as though my work is cheap 
Like those bag of chips in the vending machine
Bending my mind to give into to temptation’s
Craving as I stare at my translucent reflection 
To see through the looking plastic of food 
That’s quite terrible for my gut but great for my mind’s soul 
Solely spirited sauntering around from daydreams
To daymares of mistakes I am constantly trying to avoid
Mentally but this too shall pass somehow if I let my mind wander
And get lost in itself from fanfictions to dreams about achievements
I hope n know I can get to once I get down to business
To defeat my inner mind always adding extra weight when 
I just want to fly, but this weight I have will make me stronger
Slowly through sweat, sugar, and saltiness, 
I will overcome through it all and find the weight less heavy 
Helping heal hearts’ holes wholey 
Wonder why characters go through pain?
To remember the other versions of themselves 
To write new chapters and stories endlessly for the rest of time 
I wish this could rhyme more but it’s more about the journey 
That dash in between the numbers on a stone 
That last memory folks have of you before your face is forgotten 
That last photo people have of you wondering what type of person you were
That last second of an impact you had that made my day to never forget that 
A part of my soul is out there
With you.
",2021-04-20 23:40:19,true,2021-04-21 05:06:58.028116,en,PJP_1022_1_EN_week47_journal_2_ptext.jpg
true,true,photo_and_text,"Talk about what brings you happiness these days.
","This is Maisie. She keeps me sane and provides structure in this pandemic nightmare we're in.
",2020-07-22 00:00:53,true,2020-07-22 04:03:37.586372,en,PJP_1026_1_EN_week8_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","Ever since school began, I basically have been stuck in my room, unable to go outside and enjoy the weather since I have many classes during the day, and assignment deadlines that fall just after sunset. I feel trapped even though I still have the ability to go outside, so <strong>the panes in my window almost feel like prison bars that frame the beauty of the outdoors that I’m missing most days.</strong>",2020-10-01 16:21:46,true,2020-10-02 02:03:27.947873,en,PJP_1027_1_EN_week18_journal_1_ptext.jpg
